time,Lfoot-m,Lfoot-l,Lfoot-u,Rfoot-m,Rfoot-l,Rfoot-u
38.38383838383839,,,,1.5595456565656587,-6.274387002704786,9.393478315836102
39.3939393939394,,,,4.696594242424242,-2.4809334125547338,11.874121897403217
40.40404040404041,,,,7.671484242424246,1.141551473495368,14.201417011353126
41.41414141414142,,,,10.471946969696969,4.5224791856033955,16.421414753790543
42.42424242424243,,,,13.047643484848487,7.54386240191904,18.551424567777936
43.43434343434344,,,,15.313811565656568,10.041944458165556,20.58567867314758
44.44444444444445,,,,17.152235,11.82239262375002,22.482077376249983
45.45454545454546,,,,18.448903636363635,12.778315628366462,24.119491644360807
46.46464646464647,,,,19.11329515151515,12.899346881093006,25.327243421937293
47.47474747474748,,,,19.10247186868687,12.253161062003791,25.951782675369948
48.484848484848484,,,,18.46786909090909,10.982472475965816,25.953265705852367
49.494949494949495,,,,17.293836616161617,9.32927222036502,25.258401011958213
50.505050505050505,,,,15.744664090909088,7.5471543034389175,23.942173878379258
51.515151515151516,,,,13.984579393939393,5.877439177131947,22.09171961074684
52.525252525252526,,,,12.156490808080806,4.464400204250686,19.848581411910924
53.535353535353536,,,,10.394595909090906,3.3497870105346133,17.4394048076472
54.54545454545455,,,,8.776438636363636,2.459076823486969,15.093800449240304
55.55555555555556,,,,7.360297222222222,1.7152643428388386,13.005330101605605
56.56565656565657,,,,6.176713383838384,1.0786576950896736,11.274769072587095
57.57575757575758,,,,5.233900909090909,0.5682386865814424,9.899563131600377
58.58585858585859,,,,4.518292171717172,0.2002156668673054,8.836368676567037
59.5959595959596,,,,3.9918408080808083,-0.03832115985129825,8.022002776012915
60.60606060606061,,,,3.6077030303030306,-0.18314310399434497,7.398549164600406
61.61616161616162,,,,3.3184464646464646,-0.26677387926130747,6.903666808554236
62.62626262626263,,,,3.087198282828282,-0.3291740129880223,6.503570578644586
63.63636363636364,,,,2.8739199999999996,-0.4082445261988332,6.156084526198832
64.64646464646465,,,,2.6516695959595964,-0.5449809081265071,5.8483201000457
65.65656565656566,,,,2.40276202020202,-0.7649029568156993,5.570426997219739
66.66666666666667,,,,2.13447,-1.057404879612295,5.326344879612295
67.67676767676768,,,,1.8741868181818178,-1.3742257886291314,5.122599424992767
68.68686868686869,,,,1.6494184343434337,-1.6624370021099153,4.9612738707967825
69.6969696969697,,,,1.4748616666666663,-1.8794950200085692,4.8292183533419015
70.70707070707071,,,,1.355813535353535,-2.011066952721449,4.722694023428519
71.71717171717172,,,,1.2908478282828282,-2.0695240605113874,4.651219717077043
72.72727272727273,,,,1.2814804545454552,-2.101631278107466,4.664592187198377
73.73737373737374,,,,1.3122036868686875,-2.141556572434925,4.7659639461723
74.74747474747475,,,,1.3452481313131315,-2.2030003468381976,4.89349660946446
75.75757575757576,,,,1.3388271212121208,-2.302751835680642,4.980406078104884
76.76767676767678,,,,1.2560233333333326,-2.444216364294803,4.956263030961468
77.77777777777779,,,,1.0944016666666665,-2.6167307366210126,4.805534069954346
78.7878787878788,,,,0.8954760606060607,-2.8034826542097386,4.59443477542186
79.7979797979798,,,,0.6909444949494946,-2.9903784844229917,4.372267474321981
80.80808080808082,,,,0.5030414646464645,-3.171394212295899,4.177477141588827
81.81818181818183,,,,0.32895409090909117,-3.3470678920482664,4.004976073866449
82.82828282828284,,,,0.14839257575757597,-3.5340637853084065,3.8308489368235588
83.83838383838385,,,,-0.0510660606060606,-3.7421986158295697,3.6400664946174484
84.84848484848486,,,,-0.2717133333333336,-3.9799776310783828,3.436550964411716
85.85858585858587,,,,-0.5139103030303038,-4.252446322541359,3.2246257164807517
86.86868686868688,,,,-0.7705276767676772,-4.5530093338482835,3.0119539803129287
87.87878787878789,,,,-1.0350371212121208,-4.868745472567076,2.7986712301428347
88.8888888888889,,,,-1.306857777777778,-5.199334673002624,2.5856191174470684
89.89898989898991,,,,-1.5925984343434343,-5.555405064605392,2.3702081959185226
90.90909090909092,,,,-1.9032490909090911,-5.950224483890867,2.1437263020726847
91.91919191919193,,,,-2.252852323232323,-6.397323193114481,1.8916185466498345
92.92929292929294,,,,-2.6466648484848494,-6.9058499606895865,1.612520263719888
93.93939393939395,,,,-3.0891699999999997,-7.4889294279237735,1.3105894279237735
94.94949494949496,,,,-3.5924237373737378,-8.171393843044244,0.9865463682967692
95.95959595959597,,,,-4.173745151515154,-8.97826638122448,0.6307760781941711
96.96969696969697,,,,-4.853586060606061,-9.941032977006493,0.2338608557943731
97.97979797979798,,,,-5.6565218686868715,-11.094616388075032,-0.218427349298711
98.98989898989899,,,,-6.578806868686868,-12.432318524384222,-0.725295212989514
100.0,,,,-7.62329,-13.96202425408417,-1.2845557459158297
0.0,,,,18.188835000000005,12.43403002560904,23.94363997439097
1.0101010101010102,,,,16.344144343434344,10.976882076379837,21.71140661048885
2.0202020202020203,,,,14.222401616161616,9.268483693817963,19.17631953850527
3.0303030303030303,,,,12.052710303030304,7.527862253779032,16.577558352281578
4.040404040404041,,,,10.028064292929292,5.922381300775298,14.133747285083286
5.050505050505051,,,,8.256091363636363,4.494012079594554,12.018170647678172
6.0606060606060606,,,,6.783120606060606,3.229747351563211,10.336493860558
7.070707070707071,,,,5.632821313131313,2.1787720441973955,9.086870582065231
8.080808080808081,,,,4.76510393939394,1.3701719837169706,8.16003589507091
9.090909090909092,,,,4.1193349999999995,0.7882013374926129,7.450468662507387
10.101010101010102,,,,3.649257979797979,0.3988307282161858,6.899685231379772
11.111111111111112,,,,3.298882222222222,0.12851218406703868,6.469252260377405
12.121212121212121,,,,3.02256803030303,-0.08420234299238194,6.129338403598442
13.131313131313131,,,,2.795693838383838,-0.27888414335608,5.870271820123756
14.141414141414142,,,,2.597255252525252,-0.4709647511904391,5.665475256240943
15.151515151515152,,,,2.4194683333333336,-0.6556934317106915,5.494630098377359
16.161616161616163,,,,2.254312525252525,-0.8315156668446075,5.340140717349658
17.171717171717173,,,,2.094943131313131,-1.0043995685563223,5.194285831182584
18.181818181818183,,,,1.9423577272727275,-1.1801025921586918,5.064818046704147
19.191919191919194,,,,1.800355353535354,-1.3439576096767158,4.944668316747424
20.202020202020204,,,,1.6839342929292929,-1.47416007986838,4.842028665726966
21.212121212121215,,,,1.618410151515151,-1.5468626020610605,4.7836829050913625
22.222222222222225,,,,1.6199872222222225,-1.5815923758251267,4.821566820269572
23.232323232323235,,,,1.6643969696969698,-1.618083368131901,4.94687730752584
24.242424242424242,,,,1.6989137878787879,-1.6772652353232316,5.075092811080808
25.252525252525253,,,,1.6723655555555557,-1.7752332887239424,5.1199643998350535
26.262626262626263,,,,1.5655678787878784,-1.8990976995878317,5.030233457163589
27.272727272727273,,,,1.3973577272727271,-2.050445998005671,4.845161452551125
28.282828282828284,,,,1.2013073737373734,-2.2285807603043795,4.631195507779126
29.292929292929294,,,,1.0025190909090909,-2.4203673721543195,4.425405553972501
30.303030303030305,,,,0.823415151515151,-2.6111284003221815,4.257958703352483
31.313131313131315,,,,0.6593128282828283,-2.796044630828133,4.11467028739379
32.323232323232325,,,,0.49211015151515125,-2.9811799778837362,3.965400280914039
33.333333333333336,,,,0.31258666666666635,-3.171229764241637,3.7964030975749696
34.343434343434346,,,,0.11618207070707051,-3.3682418183499347,3.600605959764076
35.35353535353536,,,,-0.09515767676767692,-3.5757728505934754,3.3854574970581215
36.36363636363637,,,,-0.31938818181818185,-3.8039349887459135,3.16515862510955
37.37373737373738,,,,-0.5521682828282828,-4.0528679469920625,2.9485313813354974
38.38383838383839,,,,-0.7931858080808084,-4.32263251277368,2.736260896612063
39.3939393939394,,,,-1.0455357575757578,-4.612708951593795,2.5216374364422793
40.40404040404041,,,,-1.3133297474747478,-4.924233454933587,2.2975739599840916
41.41414141414142,,,,-1.6016925252525258,-5.26209063056335,2.0587055800582976
42.42424242424243,,,,-1.9122389393939394,-5.631314658801658,1.806836780013779
43.43434343434344,,,,-2.2478382323232324,-6.036762792155134,1.5410863275086686
44.44444444444445,,,,-2.6174722222222226,-6.48966480205855,1.2547203576141044
45.45454545454546,,,,-3.0299031818181823,-7.002873234131789,0.9430668704954246
46.46464646464647,,,,-3.5022803535353537,-7.595347577241697,0.59078687017099
47.47474747474748,,,,-4.049368383838384,-8.287383227454658,0.18864645977789074
48.484848484848484,,,,-4.680398181818182,-9.093587105878065,-0.2672092577583003
49.494949494949495,,,,-5.415462121212122,-10.037479269711664,-0.7934449727125807
50.505050505050505,,,,-6.276746262626264,-11.155310929841068,-1.398181595411459
51.515151515151516,,,,-7.302127424242426,-12.48396019784739,-2.1202946506374616
52.525252525252526,,,,-8.538954646464646,-14.05091780173193,-3.02699149119736
53.535353535353536,,,,-10.027137323232324,-15.878198256430634,-4.176076390034014
54.54545454545455,,,,-11.798043181818183,-17.99424836611844,-5.601837997517924
55.55555555555556,,,,-13.898485555555556,-20.433503729301243,-7.363467381809867
56.56565656565657,,,,-16.365297474747482,-23.248243499798534,-9.48235144969643
57.57575757575758,,,,-19.256087727272728,-26.50487819422165,-12.007297260323806
58.58585858585859,,,,-22.62329777777778,-30.25858544024417,-14.98801011531139
59.5959595959596,,,,-26.48816752525252,-34.554022550539536,-18.422312499965507
60.60606060606061,,,,-30.841043939393945,-39.33442886666428,-22.347659012123607
61.61616161616162,,,,-35.57512944444444,-44.434874928777226,-26.71538396011166
62.62626262626263,,,,-40.47663727272727,-49.57606003158292,-31.377214513871614
63.63636363636364,,,,-45.25352409090911,-54.40819999204088,-36.09884818977734
64.64646464646465,,,,-49.54915085858586,-58.53854480337993,-40.559756913791794
