time,Rfoot_m,Rfoot_l,Rfoot_u
0.0,-5.303334999999999,-10.664185964658035,0.057515964658036545
1.0101010101010102,-6.374293434343434,-12.127418606077008,-0.6211682626098591
2.0202020202020203,-7.645909393939394,-13.858893015740648,-1.4329257721381383
3.0303030303030303,-9.185684090909088,-15.937745259211791,-2.4336229226063866
4.040404040404041,-11.06627398989899,-18.46979202362826,-3.66275595616972
5.050505050505051,-13.318322878787876,-21.48811462889162,-5.148531128684134
6.0606060606060606,-15.995981060606061,-25.035349322344643,-6.956612798867479
7.070707070707071,-19.12527863636364,-29.100234554390646,-9.150322718336632
8.080808080808081,-22.69739292929293,-33.615082381917475,-11.779703476668384
9.090909090909092,-26.660635000000003,-38.45103912069738,-14.870230879302627
10.101010101010102,-30.94923353535354,-43.4332078700875,-18.465259200619574
11.111111111111112,-35.41925833333333,-48.273585800900634,-22.564930865766026
12.121212121212121,-39.8891646969697,-52.68992434559615,-27.088405048343255
13.131313131313131,-44.137506565656565,-56.41147825333662,-31.863534877976512
14.141414141414142,-47.89537838383838,-59.182434505130026,-36.60832226254673
15.151515151515152,-50.98054090909091,-60.9971085559197,-40.96397326226212
16.161616161616163,-53.23289752525252,-61.9009612706573,-44.56483377984774
17.171717171717173,-54.605536010101005,-62.110170066721665,-47.100901953480346
18.181818181818183,-55.092029545454544,-61.85947441636353,-48.324584674545555
19.191919191919194,-54.82502863636364,-61.41970872403006,-48.23034854869722
20.202020202020204,-53.91023878787878,-60.78603206534895,-47.03444551040862
21.212121212121215,-52.4591003030303,-59.823803538266844,-45.09439706779375
22.222222222222225,-50.57953722222222,-58.50100586050124,-42.658068583943205
23.232323232323235,-48.358531212121214,-56.85208518713424,-39.864977237108185
24.242424242424242,-45.84626893939394,-54.88877926066444,-36.80375861812343
25.252525252525253,-43.0978211111111,-52.656905040653726,-33.53873718156848
26.262626262626263,-40.12916611111112,-50.154508536917874,-30.103823685304363
27.272727272727273,-36.955815454545444,-47.36434837391799,-26.547282535172897
28.282828282828284,-33.60645671717172,-44.31547012361989,-22.897443310723542
29.292929292929294,-30.108795606060603,-41.028403984065704,-19.189187228055502
30.303030303030305,-26.512343030303025,-37.516278885423986,-15.508407175182063
31.313131313131315,-22.87782292929293,-33.84038250473425,-11.91526335385161
32.323232323232325,-19.244401616161614,-30.038375867872837,-8.450427364450391
33.333333333333336,-15.640234999999999,-26.13300484442925,-5.147465155570748
34.343434343434346,-12.073403383838382,-22.1647658428777,-1.9820409247990671
35.35353535353536,-8.55312404040404,-18.16669205335484,1.0604439725467607
36.36363636363637,-5.088935,-14.162337032927137,3.984467032927138
37.37373737373738,-1.7063577272727257,-10.184452479226694,6.771737024681242
38.38383838383839,1.5595456565656587,-6.274387002704786,9.393478315836102
39.3939393939394,4.696594242424242,-2.4809334125547338,11.874121897403217
40.40404040404041,7.671484242424246,1.141551473495368,14.201417011353126
41.41414141414142,10.471946969696969,4.5224791856033955,16.421414753790543
42.42424242424243,13.047643484848487,7.54386240191904,18.551424567777936
43.43434343434344,15.313811565656568,10.041944458165556,20.58567867314758
44.44444444444445,17.152235,11.82239262375002,22.482077376249983
45.45454545454546,18.448903636363635,12.778315628366462,24.119491644360807
46.46464646464647,19.11329515151515,12.899346881093006,25.327243421937293
47.47474747474748,19.10247186868687,12.253161062003791,25.951782675369948
48.484848484848484,18.46786909090909,10.982472475965816,25.953265705852367
49.494949494949495,17.293836616161617,9.32927222036502,25.258401011958213
50.505050505050505,15.744664090909088,7.5471543034389175,23.942173878379258
51.515151515151516,13.984579393939393,5.877439177131947,22.09171961074684
52.525252525252526,12.156490808080806,4.464400204250686,19.848581411910924
53.535353535353536,10.394595909090906,3.3497870105346133,17.4394048076472
54.54545454545455,8.776438636363636,2.459076823486969,15.093800449240304
55.55555555555556,7.360297222222222,1.7152643428388386,13.005330101605605
56.56565656565657,6.176713383838384,1.0786576950896736,11.274769072587095
57.57575757575758,5.233900909090909,0.5682386865814424,9.899563131600377
58.58585858585859,4.518292171717172,0.2002156668673054,8.836368676567037
59.5959595959596,3.9918408080808083,-0.03832115985129825,8.022002776012915
60.60606060606061,3.6077030303030306,-0.18314310399434497,7.398549164600406
61.61616161616162,3.3184464646464646,-0.26677387926130747,6.903666808554236
62.62626262626263,3.087198282828282,-0.3291740129880223,6.503570578644586
63.63636363636364,2.8739199999999996,-0.4082445261988332,6.156084526198832
64.64646464646465,2.6516695959595964,-0.5449809081265071,5.8483201000457
65.65656565656566,2.40276202020202,-0.7649029568156993,5.570426997219739
66.66666666666667,2.13447,-1.057404879612295,5.326344879612295
67.67676767676768,1.8741868181818178,-1.3742257886291314,5.122599424992767
68.68686868686869,1.6494184343434337,-1.6624370021099153,4.9612738707967825
69.6969696969697,1.4748616666666663,-1.8794950200085692,4.8292183533419015
70.70707070707071,1.355813535353535,-2.011066952721449,4.722694023428519
71.71717171717172,1.2908478282828282,-2.0695240605113874,4.651219717077043
72.72727272727273,1.2814804545454552,-2.101631278107466,4.664592187198377
73.73737373737374,1.3122036868686875,-2.141556572434925,4.7659639461723
74.74747474747475,1.3452481313131315,-2.2030003468381976,4.89349660946446
75.75757575757576,1.3388271212121208,-2.302751835680642,4.980406078104884
76.76767676767678,1.2560233333333326,-2.444216364294803,4.956263030961468
77.77777777777779,1.0944016666666665,-2.6167307366210126,4.805534069954346
78.7878787878788,0.8954760606060607,-2.8034826542097386,4.59443477542186
79.7979797979798,0.6909444949494946,-2.9903784844229917,4.372267474321981
80.80808080808082,0.5030414646464645,-3.171394212295899,4.177477141588827
