time,Lfoot_m,Lfoot_l,Lfoot_u
0.0,-14.479755,-49.45093367578207,20.49142367578207
1.0101010101010102,-15.608202272727272,-50.746062008318404,19.529657462863863
2.0202020202020203,-16.89199606060606,-52.22461747510304,18.440625353890916
3.0303030303030303,-18.368159090909096,-53.9258157282947,17.18949754647651
4.040404040404041,-20.10109878787879,-55.9250630505907,15.722865474833121
5.050505050505051,-22.116790505050506,-58.25380385612246,14.020222846021444
6.0606060606060606,-24.460009545454547,-60.964031163132816,12.044012072223722
7.070707070707071,-9.1984601010101,-53.41924857927045,35.022328377250254
8.080808080808081,-12.339714696969697,-56.51164287626314,31.83221348232375
9.090909090909092,-15.862614090909087,-59.97976561734586,28.25453743552769
10.101010101010102,-19.739617828282828,-63.77661587072372,24.297380214158064
11.111111111111112,-23.845718333333334,-67.73274840834107,20.041311741674402
12.121212121212121,-28.033489999999993,-71.68240999746686,15.615429997466883
13.131313131313131,-32.10552166666667,-75.40717721100422,11.196133877670889
14.141414141414142,-35.886077474747474,-78.79131532680978,7.019160377314826
15.151515151515152,-39.19689636363636,-81.72446537986757,3.330672652594842
16.161616161616163,-41.9083745959596,-84.15195180349008,0.33520261157087816
17.171717171717173,-43.99405247474747,-86.14533636696513,-1.8427685825298141
18.181818181818183,-45.40141454545455,-87.62487688581501,-3.177952205094094
19.191919191919194,-46.1560105050505,-88.5334715304835,-3.778549479617517
20.202020202020204,-46.31710595959596,-88.87884446336938,-3.755367455822558
21.212121212121215,-45.94185606060605,-88.68385358691174,-3.1998585343003683
22.222222222222225,-45.06195666666666,-87.96006375294454,-2.163849580388785
23.232323232323235,-43.73431424242424,-86.77046625612785,-0.6981622287206335
24.242424242424242,-41.989215909090916,-85.15470143379287,1.1762696156110408
25.252525252525253,-39.86007318181818,-83.13717002495537,3.417023661319014
26.262626262626263,-37.40128111111111,-80.77378377866363,5.971221556441407
27.272727272727273,-34.654174999999995,-78.1057056261952,8.797355626195213
28.282828282828284,-31.653277272727273,-75.15402375872108,11.847469213266528
29.292929292929294,-28.447021313131312,-71.96392720351103,15.069884577248406
30.303030303030305,-25.06835757575758,-68.56790153487319,18.431186383358025
31.313131313131315,-21.552102525252526,-65.00484305350145,21.90063800299639
32.323232323232325,-17.920277828282828,-61.301685037875096,25.46112938130944
33.333333333333336,-14.202134999999995,-57.49993933003691,29.095669330036916
34.343434343434346,-10.42184217171717,-53.63540917446355,32.7917248310292
35.35353535353536,-6.609750707070705,-49.742381266451794,36.52287985231039
36.36363636363637,-19.164655454545407,-48.87548381574436,10.546172906653545
37.37373737373738,-17.02462818181818,-53.659280568795104,19.610024205158744
38.38383838383839,-13.298073838383837,-49.84752084756602,23.251373170798345
39.3939393939394,-9.622931666666666,-46.03925879569031,26.793395462356976
40.40404040404041,-5.996810858585858,-42.217781878561006,30.224160161389285
41.41414141414142,-2.456359040404039,-38.39767016310672,33.48495208229864
42.42424242424243,0.9381043939393932,-34.64104555497226,36.51725434285104
43.43434343434344,4.117876818181818,-31.02844643720858,39.26420007357222
44.44444444444445,6.983985555555558,-27.685503525077543,41.653474636188655
45.45454545454546,9.423456363636365,-24.759348300238617,43.60626102751135
46.46464646464647,11.286015202020204,-22.42666007617759,44.998690480217995
47.47474747474748,12.478649444444445,-20.841662141245017,45.7989610301339
48.484848484848484,12.92985606060606,-20.08799583441758,45.947707955629696
49.494949494949495,12.630421767676765,-20.177936191479063,45.43877972683259
50.505050505050505,11.669741414141416,-21.072511644276506,44.41199447255934
51.515151515151516,10.185913181818181,-22.635506041864083,43.00733240550044
52.525252525252526,8.331678484848485,-24.672391100199395,41.33574806989637
53.535353535353536,6.267358383838383,-27.00704655137624,39.54176331905301
54.54545454545455,4.117845454545452,-29.49786494701879,37.733555856109696
55.55555555555556,2.014213333333335,-31.98664131329348,36.01506797996015
56.56565656565657,0.07020686868686474,-34.324448469303306,34.46486220667704
57.57575757575758,-1.608849242424244,-36.31854650446731,33.10084801961882
58.58585858585859,-2.971352222222223,-37.881579430757796,31.93887498631335
59.5959595959596,-4.009775858585859,-39.003215358067564,30.983663640895845
60.60606060606061,-4.75441984848485,-39.723719547253864,30.214879850284163
61.61616161616162,-5.262124393939394,-40.15415882728856,29.629910039409772
62.62626262626263,-5.61185505050505,-40.41546748705396,29.19175738604386
63.63636363636364,-5.894866363636364,-40.618275632164114,28.828542904891382
64.64646464646465,-6.16911777777778,-40.839362255037045,28.50112669948149
65.65656565656566,-6.4407477777777755,-41.09463312776638,28.21313757221083
66.66666666666667,-6.688283333333335,-41.35943909175961,27.98287242509294
67.67676767676768,-6.8720191919191915,-41.5719388686266,27.827900484788216
68.68686868686869,-6.98426797979798,-41.69685395557716,27.728317995981204
69.6969696969697,-7.035211969696971,-41.73291234473484,27.6624884053409
70.70707070707071,-7.070032777777781,-41.72485009296276,27.584784537407195
71.71717171717172,-7.132637979797981,-41.73570076894624,27.470424809350273
72.72727272727273,-7.243348181818183,-41.7983232594484,27.311626895812033
73.73737373737374,-7.396973787878788,-41.91345971415669,27.119512138399113
74.74747474747475,-7.57296818181818,-42.06073372048497,26.914797356848606
75.75757575757576,-7.755541060606059,-42.2203352484034,26.709253127191285
76.76767676767678,-7.939255707070707,-42.384097788036875,26.50558637389546
77.77777777777779,-8.12577111111111,-42.55096136456808,26.299419142345858
78.7878787878788,-8.318221666666666,-42.72258765303806,26.08614431970473
79.7979797979798,-8.517639090909089,-42.900109423308265,25.86483124149009
80.80808080808082,-8.72450474747475,-43.084338697807524,25.63532920285802
